0; 225.024; -1.85548e-15
0.02; 20.7503; 8.18572e-15
0.04; -1.95963; 1.22246e-14
0.06; 20.445; 8.73238e-15
0.08; -7.55706; -2.51778e-08
0.1; 2.73524; 5.06005e-05
0.12; 8.71121; -2.85869e-05
0.14; 3.31746; -8.14133e-05
0.16; 9.99063; -6.6582e-05
0.18; 8.83429; 0.000151073
0.2; 30.9968; 2.12466e-05
0.22; -11.3041; -0.000102623
0.24; -18.3861; -5.08264e-05
0.26; 9.51044; -1.31168e-05
0.28; 3.57271; 0.000196325
0.3; 6.04955; -1.13617e-05
0.32; 8.21626; 3.1423e-06
0.34; 11.72; -8.53847e-05
0.36; -1.10897; -0.000146526
0.38; 18.6318; 2.19317e-05
0.4; 11.6593; 0.000132931
0.42; -17.3699; 0.000106358
0.44; -7.15253; 1.59611e-05
0.46; 21.819; -8.9862e-05
0.48; 17.1833; -0.000107176
0.5; 1.30885; -8.62468e-05
0.52; 0.203071; 8.04686e-05
0.54; 2.37311; 9.91575e-05
0.56; 9.87989; 8.70558e-05
0.58; 13.2516; -5.41172e-05
0.6; 2.32157; -7.22431e-05
0.62; 1.08193; -4.32859e-05
0.64; 8.37068; -7.77833e-06
0.66; 11.8595; 2.48193e-05
0.68; 2.50576; 3.30144e-05
0.7; -2.45866; 3.32395e-05
0.72; -0.165109; 2.68231e-05
0.74; 11.0873; -4.13867e-05
0.76; 21.433; -4.47025e-05
0.78; 2.35219; -2.86144e-05
0.8; 0.552139; 2.77764e-05
0.82; 6.17608; 2.93851e-05
0.84; 4.14652; 1.93072e-05
0.86; 1.55693; -4.98555e-06
0.88; 6.7234; -1.52241e-05
0.9; 11.9427; -1.86226e-05
0.92; 3.55823; -2.74921e-06
0.94; 12.863; 1.06271e-05
0.96; 6.57516; 1.03262e-05
0.98; -1.51017; -2.80252e-06
1; 4.64729; -5.64984e-06
1.02; 10.6868; -2.33679e-07
1.04; 6.42968; 6.77674e-06
1.06; 2.41759; 2.91209e-06
1.08; 11.4428; -2.74796e-06
1.1; 5.66519; -1.16021e-05
1.12; 1.45227; -8.30404e-06
1.14; 4.31247; 6.07385e-06
1.16; 5.48145; 1.79873e-05
1.18; 10.112; 9.11076e-06
1.2; 9.66063; -1.18363e-05
1.22; 5.42018; -1.55186e-05
1.24; 2.13088; -3.87404e-06
1.26; 4.9135; 8.20898e-06
1.28; 7.09138; 7.33207e-06
1.3; 4.85564; 4.01154e-06
1.32; 7.81275; -1.45574e-06
1.34; 5.68525; -5.23488e-06
1.36; 10.1784; -5.18408e-06
1.38; 9.82951; 5.27298e-08
1.4; 2.20581; 4.34205e-06
1.42; 0.0810607; 3.06382e-06
1.44; 6.14579; -6.86486e-07
